feature,coefficient,abs_coefficient
num__first_order_revenue,0.1831,0.1831
num__first_order_items,-0.2958,0.2958
num__sessions_before_first_purchase,0.1261,0.1261
num__product_views_before_purchase,0.007,0.007
num__add_to_cart_before_purchase,-0.0486,0.0486
num__checkout_events_before_purchase,0.0739,0.0739
num__search_events_before_purchase,0.0126,0.0126
num__days_first_visit_to_purchase,0.0012,0.0012
num__missingindicator_days_first_visit_to_purchase,0.1577,0.1577
cat__purchase_day_of_week_1,-0.2396,0.2396
cat__purchase_day_of_week_2,0.0493,0.0493
cat__purchase_day_of_week_3,-0.2008,0.2008
cat__purchase_day_of_week_4,0.0956,0.0956
cat__purchase_day_of_week_5,-0.0401,0.0401
cat__purchase_day_of_week_6,0.2575,0.2575
cat__purchase_day_of_week_7,-0.031,0.031
cat__purchase_hour_utc_0,0.1327,0.1327
cat__purchase_hour_utc_1,0.1433,0.1433
cat__purchase_hour_utc_2,-0.012,0.012
cat__purchase_hour_utc_3,-0.2999,0.2999
cat__purchase_hour_utc_4,-0.4969,0.4969
cat__purchase_hour_utc_5,0.0009,0.0009
cat__purchase_hour_utc_6,-0.4091,0.4091
cat__purchase_hour_utc_7,0.1248,0.1248
cat__purchase_hour_utc_8,0.1544,0.1544
cat__purchase_hour_utc_9,0.6545,0.6545
cat__purchase_hour_utc_10,0.2552,0.2552
cat__purchase_hour_utc_11,0.4197,0.4197
cat__purchase_hour_utc_12,0.3091,0.3091
cat__purchase_hour_utc_13,-0.8198,0.8198
cat__purchase_hour_utc_14,-0.3159,0.3159
cat__purchase_hour_utc_15,-0.0202,0.0202
cat__purchase_hour_utc_16,-0.0311,0.0311
cat__purchase_hour_utc_17,0.3917,0.3917
cat__purchase_hour_utc_18,0.4278,0.4278
cat__purchase_hour_utc_19,0.0983,0.0983
cat__purchase_hour_utc_20,-0.3921,0.3921
cat__purchase_hour_utc_21,-0.1105,0.1105
cat__purchase_hour_utc_22,0.0929,0.0929
cat__purchase_hour_utc_23,-0.407,0.407
cat__device_category_desktop,-0.0285,0.0285
cat__device_category_mobile,0.0705,0.0705
cat__device_category_tablet,-0.1512,0.1512
cat__first_source_(data deleted),0.0363,0.0363
cat__first_source_(direct),0.0534,0.0534
cat__first_source_<Other>,0.0506,0.0506
cat__first_source_google,-0.2886,0.2886
cat__first_source_shop.googlemerchandisestore.com,0.0391,0.0391
cat__first_medium_(data deleted),0.0377,0.0377
cat__first_medium_(none),0.0534,0.0534
cat__first_medium_<Other>,0.0162,0.0162
cat__first_medium_cpc,-0.4766,0.4766
cat__first_medium_organic,0.0474,0.0474
cat__first_medium_referral,0.2128,0.2128
