user_pseudo_id,first_order_date,purchase_day_of_week,purchase_hour_utc,device_category,first_source,first_medium,first_order_revenue,first_order_items,sessions_before_first_purchase,product_views_before_purchase,add_to_cart_before_purchase,checkout_events_before_purchase,search_events_before_purchase,days_first_visit_to_purchase,repeat_purchase_30d
12485307.5806877734,2020-11-12,5,9,desktop,(data deleted),(data deleted),54.0,3,3,8,0,2,1,,0
74159065.7287032878,2020-11-12,5,11,desktop,(data deleted),(data deleted),46.0,1,1,3,0,2,0,,0
8204448.9073098218,2020-11-12,5,22,desktop,(data deleted),(data deleted),168.0,8,5,42,0,6,0,,0
2794121.3808098678,2020-11-13,6,21,desktop,(data deleted),(data deleted),92.0,1,2,0,0,2,0,7,0
1874742.4444474598,2020-11-13,6,3,desktop,(data deleted),(data deleted),44.0,1,3,6,0,2,0,,0
2684090.0831718948,2020-11-13,6,21,desktop,(data deleted),(data deleted),81.0,3,1,6,0,4,0,,0
5242740.3027110338,2020-11-13,6,14,desktop,(data deleted),(data deleted),35.0,13,1,12,0,2,0,,0
2992162.7816495834,2020-11-13,6,22,desktop,(data deleted),(data deleted),119.0,3,3,10,0,6,0,,1
2476173.9104747305,2020-11-13,6,5,desktop,(data deleted),(data deleted),48.0,1,1,2,0,2,0,,1
82865714.7704602382,2020-11-13,6,15,desktop,(data deleted),(data deleted),55.0,5,2,29,0,2,0,0,0
7446712.2726872272,2020-11-13,6,16,desktop,(data deleted),(data deleted),63.0,1,6,60,0,15,0,9,0
8872008.3003968101,2020-11-14,7,0,desktop,(data deleted),(data deleted),59.0,4,1,7,0,2,0,,0
46883960.6190957761,2020-11-14,7,4,desktop,(data deleted),(data deleted),127.0,6,2,43,0,2,0,6,0
29035347.8015724334,2020-11-14,7,6,desktop,(data deleted),(data deleted),101.0,2,3,4,0,4,4,0,0
91950347.7626682265,2020-11-15,1,22,desktop,(data deleted),(data deleted),44.0,1,2,18,0,2,0,,0
79677269.4180879894,2020-11-15,1,22,desktop,(data deleted),(data deleted),96.0,1,2,2,0,6,0,,0
34976491.2114125776,2020-11-16,2,16,desktop,(data deleted),(data deleted),98.0,2,1,4,1,6,0,,0
3370196.0460875623,2020-11-16,2,22,desktop,(data deleted),(data deleted),102.0,3,2,4,0,8,0,0,0
79061268.0848182319,2020-11-16,2,5,desktop,(data deleted),(data deleted),23.0,4,1,10,0,2,0,,0
18938448.3710776022,2020-11-16,2,23,desktop,(data deleted),(data deleted),125.0,5,3,50,4,10,0,10,0
66000056.3111790804,2020-11-16,2,13,desktop,(data deleted),(data deleted),55.0,3,3,14,0,4,0,,0
53271954.4292633938,2020-11-17,3,15,desktop,(data deleted),(data deleted),33.0,3,1,23,7,2,0,,0
35388939.9653515999,2020-11-17,3,15,desktop,(data deleted),(data deleted),18.0,1,2,6,2,2,0,0,0
8990340.3316542817,2020-11-17,3,3,desktop,(data deleted),(data deleted),50.0,3,1,10,6,14,5,,0
2221470.3700307056,2020-11-17,3,9,desktop,(data deleted),(data deleted),44.0,1,1,7,0,4,0,,0
12877939.3694492500,2020-11-17,3,8,desktop,(data deleted),(data deleted),61.0,4,4,19,0,6,0,5,0
